科目编码,科目名称,助记码,科目类别：.名称,余额方向,现金科目,银行科目,现金等价物,数量核算,计量单位.名称,外币核算,币别,期末调汇,辅助核算,辅助核算项目,是否必录,借方现金流量项目：.名称,贷方现金流量项目：.名称,启用状态,不允许手工录入凭证,洗件判定
1122987,第987个下级科目,d987gxjkm,流动资产,借,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
1123,预付账款,yfzk,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1124,预付账款,yfzk,流动资产,借,否,否,否,否,,否,,否,是,供应商,非必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：与 1123 预付账款 重名的自建行
1131,应收股利,ysgl,流动资产,借,否,否,否,否,,否,,否,否,,,取得投资收益收到的现金,取得投资收益收到的现金,启用,否,保留
1132,应收利息,yslx,流动资产,借,否,否,否,否,,否,,否,是,客户/供应商,必录/必录,取得投资收益收到的现金,取得投资收益收到的现金,启用,否,保留
1221,其他应收款,qtysk,流动资产,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
1234,应收账款,yszk,流动资产,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：与 1122 应收账款 重名的自建行
1234001,加盟费,jmf,流动资产,借,否,否,否,否,,否,,否,是,客户/供应商,非必录/非必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
1401,材料采购,clcg,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1402,在途物资,ztwz,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1403,原材料,ycl,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1403001,螺旋桨轴,lxjz,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1404,材料成本差异,clcbcy,流动资产,借,否,否,否,是,g,否,,否,是,商品,必录,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1405,库存商品,kcsp,流动资产,借,否,否,否,是,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1406,发出商品,fcsp,流动资产,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
1407,商品进销差价,spjxcj,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
