科目编码,科目名称,助记码,科目类别：.名称,余额方向,现金科目,银行科目,现金等价物,数量核算,计量单位.名称,外币核算,币别,期末调汇,辅助核算,辅助核算项目,是否必录,借方现金流量项目：.名称,贷方现金流量项目：.名称,启用状态,不允许手工录入凭证,洗件判定
3104011,转作资本的利润,zzzbdlr,所有者权益,借,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
3104015,未分配利润,wfplr,所有者权益,贷,否,否,否,否,,否,,否,否,,,分配利润支付的现金,分配利润支付的现金,启用,否,保留
4001,生产成本,sccb,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
4001001,基本生产成本,jbsccb,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
4001001001,1,1,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
4001002,辅助生产成本,fzsccb,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
4101,制造费用,zzfy,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
4301,研发支出,yfzc,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
4401,工程施工,gcsg,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
4403,机械作业,jxzy,成本,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
5001,主营业务收入,zyywsr,营业收入,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
5001001,仓储收入,ccsr,营业收入,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
5001002,运费收入,yfsr,营业收入,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
5001003,配件,pj,营业收入,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
5001004,变压器,byq,营业收入,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
5001006,工程收入,gcsr,营业收入,贷,否,否,否,否,,否,,否,否,,,销售产成品、商品、提供劳务收到的现金,销售产成品、商品、提供劳务收到的现金,启用,否,保留
5051,其他业务收入,qtywsr,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5111,投资收益,tzsy,其他收益,贷,否,否,否,否,,否,,否,否,,,取得投资收益收到的现金,取得投资收益收到的现金,启用,否,保留
5301,营业外收入,yywsr,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5301001,非流动资产处置净收益,fldzcczjsy,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5301002,政府补助,zfbz,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5301003,捐赠收益,jzsy,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5301004,盘盈收益,pysy,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5301005,其他,qt,其他收益,贷,否,否,否,否,,否,,否,否,,,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,保留
5401,主营业务成本,zyywcb,营业成本及税金,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
5402,其他业务成本,qtywcb,其他损失,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
5403,税金及附加,sjjfj,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403001,消费税,xfs,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403003,城市维护建设税,cswhjss,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403004,资源税,zys,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403005,土地增值税,tdzzs,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403006,城镇土地使用税,cztdsys,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403007,房产税,fcs,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403008,车船税,ccs,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403009,印花税,yhs,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403010,教育费附加,jyffj,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403011,矿产资源补偿费,kczybcf,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403012,排污费,pwf,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5403013,地方教育费附加,dfjyffj,营业成本及税金,借,否,否,否,否,,否,,否,否,,,支付的税费,支付的税费,启用,否,保留
5601,销售费用,xsfy,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601001,办公用品,bgyp,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601003,物业管理费,wyglf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601004,水电费,sdf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601005,交际应酬费,jjycf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601007,差旅费,clf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601008,补助,bz,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601009,通讯费,txf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601010,工资,gz,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601011,佣金,yj,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601012,保险金,bxj,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601013,福利费,flf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601014,累计折旧,ljzj,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601015,商品维修费,spwxf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601016,广告和业务宣传费,gghywxcf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601017,车辆使用,clsy,期间费用,借,否,否,否,否,,否,,否,是,部门,必录,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5601099,其他,qt,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602,管理费用,glfy,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602001,办公用品,bgyp,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602002,房租,fz,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602003,物业管理费,wyglf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602004,水电费,sdf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602005,交际应酬费,jjycf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602006,市内交通费,snjtf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602007,差旅费,clf,期间费用,借,否,否,否,否,,否,,否,是,部门/职员,非必录/非必录,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602008,通讯费,txf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602009,工资,gz,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602010,保险金,bxj,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602011,福利费,flf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602012,折旧费,zjf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602013,开办费,kbf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602014,职工教育经费,zgjyjf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602015,研究费用,yjfy,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5602099,其他,qt,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5603,财务费用,cwfy,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5603001,汇兑损益,hdsy,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5603002,利息,lx,期间费用,借,否,否,否,否,,否,,否,否,,,偿还借款利息支付的现金,偿还借款利息支付的现金,启用,否,保留
5603003,手续费,sxf,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5603099,其他,qt,期间费用,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711,营业外支出,yywzc,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711001,存货盘亏毁损,chpkhs,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711002,非流动资产处置净损失,fldzcczjss,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711003,坏账损失,hzss,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711004,无法收回的长期债券投资损失,wfshdcqzqtzss,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711005,无法收回的长期股权投资损失,wfshdcqgqtzss,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711006,自然灾害等不可抗力造成的损失,zrzhdbkklzcdss,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711007,税收滞纳金,ssznj,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711008,罚金、罚款,fj、fk,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711009,捐赠支出,jzzc,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5711010,其他,qt,其他损失,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
5801,所得税费用,sdsfy,所得税,借,否,否,否,否,,是,美元1,否,否,,,支付的税费,支付的税费,启用,否,保留
5802,主营业务成本,zyywcb,营业成本及税金,借,否,否,否,否,,否,,否,是,部门,必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：与 5401 主营业务成本 重名的自建行
6000,以前年度损益调整,yqndsytz,以前年度损益调整,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
6000001,以前年度损益-成本,yqndsy-cb,以前年度损益调整,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,启用,否,保留
7777,现金1,xj1,流动资产,借,否,否,否,否,,否,,否,否,,,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
8888,应付账款1,yfzk1,流动资产,贷,否,否,否,否,,否,,否,是,供应商,非必录,支付其他与经营活动有关的现金,收到其他与经营活动有关的现金,启用,否,剔除：沙箱测试行（名称非会计科目）
