seq,段,编码,parent_code,科目名称,余额方向,account_type,cf_cash,reconcile,纳税人身份,来源,决议,备注
69,三级,2221001001,2221001,进项税额,借,liability_current,,,一般,星辰ASSBE原件,保留,
70,三级,2221001002,2221001,销项税额的抵减,借,liability_current,,,一般,星辰ASSBE原件,保留,
71,三级,2221001003,2221001,已交税金,借,liability_current,,,一般,星辰ASSBE原件,保留,
72,三级,2221001004,2221001,转出未交增值税,借,liability_current,,,一般,星辰ASSBE原件,保留,
73,三级,2221001005,2221001,减免税款,借,liability_current,,,一般,星辰ASSBE原件,保留,
74,三级,2221001006,2221001,出口抵减内销产品应纳税额,借,liability_current,,,一般,星辰ASSBE原件,保留,
75,三级,2221001007,2221001,销项税额,贷,liability_current,,,一般,星辰ASSBE原件,保留,
76,三级,2221001008,2221001,出口退税,贷,liability_current,,,一般,星辰ASSBE原件,保留,
77,三级,2221001009,2221001,进项税额转出,贷,liability_current,,,一般,星辰ASSBE原件,保留,
78,三级,2221001010,2221001,转出多交增值税,贷,liability_current,,,一般,星辰ASSBE原件,保留,
79,二级,2221002,2221,未交增值税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
80,二级,2221003,2221,预交增值税,借,liability_current,,,通用,星辰ASSBE原件,保留,
81,二级,2221004,2221,待抵扣进项税额,借,liability_current,,,通用,星辰ASSBE原件,保留,
82,二级,2221005,2221,待认证进项税额,借,liability_current,,,通用,星辰ASSBE原件,保留,
83,二级,2221006,2221,待转销项税额,贷,liability_current,,,通用,星辰ASSBE原件,保留,
84,二级,2221007,2221,增值税留抵税额,借,liability_current,,,通用,星辰ASSBE原件,保留,
85,二级,2221008,2221,简易计税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
86,二级,2221009,2221,转让金融商品应交增值税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
87,二级,2221010,2221,增值税,贷,liability_current,,,小规模,星辰ASSBE原件,保留,"原名""代扣代交增值税"";二姐改名为""增值税"",供小规模纳税人使用(无境外业务时代扣代交场景不存在)"
88,二级,2221011,2221,应交所得税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
89,二级,2221012,2221,应交个人所得税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
90,二级,2221013,2221,教育费附加,贷,liability_current,,,通用,星辰ASSBE原件,保留,
91,二级,2221014,2221,地方教育费附加,贷,liability_current,,,通用,星辰ASSBE原件,保留,
92,二级,2221015,2221,应交资源税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
93,二级,2221016,2221,应交土地增值税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
94,二级,2221017,2221,应交城市维护建设税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
95,二级,2221018,2221,应交房产税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
96,二级,2221019,2221,应交土地使用税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
97,二级,2221020,2221,应交车船使用税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
98,二级,2221021,2221,应交消费税,贷,liability_current,,,通用,星辰ASSBE原件,保留,
99,二级,2221022,2221,应交印花税,贷,liability_current,,,通用,二姐建议新增,保留,二姐建议新增;内资普遍适用
100,二级,2221023,2221,应交关税,贷,liability_current,,,通用,二姐建议新增,不预置,"二姐建议新增;无境外业务不需要,需要的企业自行增加"
